scenario,location,fo_pct,so_pct
Sanction Shock,MMR,2.7970151413384846e-05,1.4887895763207978e-05
Sanction Shock,MYS,9.799005357988108e-05,-8.882356000347717e-05
Sanction Shock,NGA,3.997998218062733e-05,-8.6505393725763e-06
Sanction Shock,NLD,0.00046830339272843895,-0.003931985296935463
Sanction Shock,NOR,0.0002400569104419757,-0.0008305684535136733
Sanction Shock,NZL,6.514496095653498e-05,-8.505051604656489e-06
Sanction Shock,PAK,3.983364061087863e-05,3.5682759670788172e-06
Sanction Shock,PER,4.7313043500303246e-05,-1.2179934215367516e-06
Sanction Shock,PHL,4.6538273760414634e-05,2.954012714892461e-06
Sanction Shock,POL,0.0006791819621133874,-0.008519497749682407
Sanction Shock,PRT,0.00031957501470254187,-0.001269328563959793
Sanction Shock,ROU,0.0003988621897705988,-0.002309151398468694
Sanction Shock,RUS,0.00012435777949649772,-0.0008476653624055394
Sanction Shock,SAU,0.00013760566526391552,-0.00023065937451331763
Sanction Shock,SEN,7.227475372175656e-05,-2.6006354814138002e-05
Sanction Shock,SGP,9.38626813926013e-05,-0.00013642204684539454
Sanction Shock,STP,2.34436208145101e-05,8.741503748508844e-06
Sanction Shock,SVK,0.0006988756133428239,-0.006400758507272315
Sanction Shock,SVN,0.0005037060018662138,-0.0032488739908640234
Sanction Shock,SWE,0.00035646651684249496,-0.00250658920609336
Sanction Shock,THA,0.00012167775801504099,-0.00014390817691697512
Sanction Shock,TUN,0.00025346490794241516,-0.0008360483626068839
Sanction Shock,TUR,0.00015850654759252405,-0.0006565476497005349
Sanction Shock,TWN,9.132758209159761e-05,-0.00013206906912967357
Sanction Shock,UKR,0.0002095073243367911,-0.0005927630981932422
Sanction Shock,USA,5.204344644745757e-05,-0.00045877377776084205
Sanction Shock,VNM,9.627150694448441e-05,-6.275943779335621e-05
Sanction Shock,ZAF,0.00015099574937874104,-0.0002666294723355646
Sanction Shock,ROW,9.975811658269328e-05,-0.000482795002290696
